town,price,size,bedrooms,bathrooms
Woodlands,650000,125,4,2
Sengkang,720000,92,3,2
Kallang/Whampoa,750000,103,3,2
Queenstown,640000,65,2,2
Choa Chu Kang,500000,93,3,2
Tampines,850000,146,4,3
Tampines,668000,93,3,2
Kallang/Whampoa,448800,67,2,2
Bedok,320000,67,2,2
Queenstown,1000000,104,3,2
Jurong East,750000,121,3,2
Yishun,670000,112,3,2
Kallang/Whampoa,340000,59,2,1
Choa Chu Kang,690000,113,3,2
Pasir Ris,670000,127,3,2
Bishan,798000,121,3,2
Yishun,812000,146,4,2
Sembawang,460000,90,3,2
Queenstown,640000,85,3,2
Serangoon,389000,67,2,2
Woodlands,620000,122,3,2
Sengkang,548000,93,2,2
Woodlands,539888,93,3,2
Sembawang,640000,93,2,2
Jurong West,525000,104,3,2
Yishun,390000,59,2,2
Woodlands,900001,145,4,3
Clementi,385000,67,2,2
Queenstown,450000,6,2,2
Bedok,588888,117,3,2
Bukit Batok,340000,68,2,2
Woodlands,550000,111,3,2
Choa Chu Kang,700000,144,4,2
Ang Mo Kio,800000,90,3,2
Choa Chu Kang,648000,142,4,2
Choa Chu Kang,488000,104,3,2
Yishun,498000,104,3,2
Sengkang,775000,126,4,2
Yishun,998000,164,5,3
Yishun,428000,68,2,2
Yishun,998000,164,5,3
Yishun,450000,84,3,2
Woodlands,588000,68,3,2
Jurong West,550000,67,2,2
Bukit Merah,1300000,114,3,2
Woodlands,600000,121,3,2
Ang Mo Kio,488888,82,2,2
Hougang,488888,84,3,2
Toa Payoh,470000,74,2,2
Punggol,550000,110,3,2
Ang Mo Kio,850000,92,3,2
Ang Mo Kio,800000,92,3,2
Bishan,800000,122,4,2
Bukit Panjang,555000,111,3,2
Pasir Ris,1080888,105,3,2
Choa Chu Kang,478000,106,3,2
Woodlands,680000,119,4,2
Ang Mo Kio,370000,67,2,2
Sengkang,770000,135,4,2
Yishun,550000,105,3,2
Woodlands,580000,122,3,2
Bukit Merah,660000,69,2,2
Bedok,320000,67,2,2
Punggol,620000,92,3,2
Jurong West,299000,65,3,1
Yishun,455000,104,3,2
Sengkang,599999,93,3,2
Queenstown,370000,65,3,2
Sembawang,650000,133,4,2
Kallang/Whampoa,650000,117,3,2
Central Area,920000,82,3,1
Yishun,550000,92,3,2
Woodlands,488000,68,2,2
Clementi,498000,67,2,2
Woodlands,550000,92,3,2
Yishun,335000,63,2,2
Bukit Merah,670000,86,3,2
Bedok,988000,146,4,3
Bedok,988000,146,0,3
Tampines,550000,105,3,2
Clementi,428000,670,2,2
Queenstown,490000,82,3,2
Choa Chu Kang,530000,92,3,2
Central Area,478000,74,2,2
Yishun,765000,142,4,2
Woodlands,510000,97,3,2
Bukit Merah,1300000,114,3,2
Sengkang,499000,90,3,2
Jurong West,465000,104,3,2
Bukit Batok,389000,68,2,2
Toa Payoh,679000,91,3,2
Punggol,529000,111,3,2
Bukit Panjang,550000,110,3,2
Sembawang,495000,95,3,2
Sengkang,580000,114,3,2
Woodlands,590000,93,3,2
Woodlands,550000,93,3,2
Choa Chu Kang,460000,102,3,2
Bukit Panjang,1288000,146,4,3
Bukit Batok,1000000,149,4,3
Bukit Merah,1023000,123,5,2
Serangoon,780000,113,3,2
Bukit Panjang,550000,121,3,2
Choa Chu Kang,550000,92,3,2
Sembawang,640000,110,3,2
Bishan,690000,100,3,2
Ang Mo Kio,495000,98,3,2
Tampines,800000,138,4,2
Hougang,458888,90,3,2
Kallang/Whampoa,380000,59,2,1
Pasir Ris,768000,146,3,2
Bukit Panjang,558000,93,3,2
Kallang/Whampoa,560000,99,3,2
Kallang/Whampoa,560000,9,3,2
Kallang/Whampoa,629999,109,3,2
Geylang,750000,105,3,2
Queenstown,795000,83,3,2
Toa Payoh,268000,54,1,1
Jurong West,718000,150,3,2
Hougang,364000,67,2,2
Bukit Batok,800000,141,4,2
Tampines,428000,73,2,2
Woodlands,1086000,192,5,3
Punggol,730888,112,3,2
Jurong East,500000,100,3,2
Jurong East,500000,100,3,2
Jurong East,500000,100,3,2
Bukit Merah,549000,72,3,2
Bishan,838000,121,3,2
Sembawang,620000,110,3,2
Toa Payoh,900000,93,3,2
Woodlands,535000,103,3,2
Yishun,540000,93,3,2
Bukit Batok,375000,69,2,2
